election_date,election_year,democratic_vote_share_adj,republican_vote_share_adj,state,state_name,region,electoral_votes,PVI,state_unemployment,state_house_price,state_med_income,state_personal_income,nat_gdp,nat_nonfarm_payroll,nat_ind_production,nat_personal_exp,nat_personal_inc,nat_price_index,stock_market,net_approval,incumbent
11/6/1984,1984,0.289952463,0.710047537,NE,Nebraska,Midwest,5,-0.30228236,4.5,0.052885069,21400,20825.811,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.326843184,0.673156816,NV,Nevada,West,6,-0.235969059,8,0.282926829,25780,13520.876,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.310740077,0.689259923,NH,New Hampshire,Northeast,4,-0.210432155,4.3,0.394046775,25910,14210.646,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.394786089,0.605213911,NJ,New Jersey,Northeast,14,-0.04235266,5.8,0.331823875,27780,124743.741,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.396504019,0.603495981,NM,New Mexico,West,5,-0.080559988,8.2,0.207162587,20630,16029.878,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.45982281,0.54017719,NY,New York,Northeast,29,0.063338613,7,0.519805982,22030,281237.12,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.379721371,0.620278629,NC,North Carolina,South,15,0.085559073,6.8,0.220368745,20570,72996.617,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.342654176,0.657345824,ND,North Dakota,Midwest,3,-0.255439304,5.5,0.144144144,20770,8409.5,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.405293073,0.594706927,OH,Ohio,Midwest,18,-0.011051775,9.1,0.038643609,23120,144833.262,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.308901742,0.691098258,OK,Oklahoma,South,7,-0.129370251,7.1,0.174537988,21150,41832.92,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.438952887,0.561047113,OR,Oregon,West,7,-0.009436923,9.4,-0.023079945,21400,34349.789,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.462992685,0.537007315,PA,Pennsylvania,Northeast,20,0.023149008,8.6,0.176731357,20350,160163.819,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.481702698,0.518297302,RI,Rhode Island,Northeast,4,0.195140569,5,0.310073559,21610,13183.169,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.358812206,0.641187794,SC,South Carolina,South,9,0.097267738,6.7,0.207348092,20310,35809.817,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.367004868,0.632995132,SD,South Dakota,Midwest,3,-0.163929204,4.5,0.131246684,19410,8158.714,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.418181519,0.581818481,TN,Tennessee,South,11,0.104903736,8,0.188018802,16780,53966.316,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.362136948,0.637863052,TX,Texas,South,38,-0.025229745,6.2,0.211825922,23020,215633.029,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.24879979,0.75120021,UT,Utah,West,6,-0.420090217,6.3,0.073322485,23060,18545.53,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.413350893,0.586649107,VT,Vermont,Northeast,3,-0.008413105,4.8,0.147471275,22580,6340.709,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.373243121,0.626756879,VA,Virginia,South,13,-0.031382152,5.2,0.193056488,26530,81185.737,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.434288567,0.565711433,WA,Washington,West,12,-0.042243809,8.9,0.080428165,25020,61085.84,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.447275657,0.552724343,WV,West Virginia,South,5,0.150182983,10,-0.255768076,16840,20063.1,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.453779843,0.546220157,WI,Wisconsin,Midwest,10,0.03974144,6.9,0.045646827,20740,62461.87,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.285996002,0.714003998,WY,Wyoming,West,3,-0.261873562,6.3,0.008326307,23820,6854.264,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/8/1988,1988,0.402544316,0.597455684,AL,Alabama,South,9,-0.008273176,7.4,0.165551425,19950,55120.443,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.378366826,0.621633174,AK,Alaska,West,3,-0.208275173,8.2,-0.132985744,33100,10789.4,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.392565085,0.607434915,AZ,Arizona,West,11,-0.183751902,6.2,0.096623886,26440,55245.937,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.428083573,0.571916427,AR,Arkansas,South,6,-0.005952906,7.3,0.042063426,20170,30222.889,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.481926895,0.518073105,CA,California,West,55,-0.006663292,5.2,0.527289019,30290,557867.421,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.460461756,0.539538244,CO,Colorado,West,9,-0.121090082,6,0,26210,55883.824,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.474188495,0.525811505,CT,Connecticut,Northeast,7,-0.028714068,3.1,0.877947198,36210,77821.021,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.437588104,0.562411896,DE,Delaware,South,3,0.008420429,3.2,0.541725919,30510,12308.476,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.852457526,0.147542474,DC,District of Columbia,South,3,0.880155887,4.8,0.573161765,26740,14041.678,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.387479284,0.612520716,FL,Florida,South,29,-0.111180568,5.3,0.159673844,25410,213833.648,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.397963837,0.602036163,GA,Georgia,South,16,0.049373722,5.5,0.212423609,26570,99402.325,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
